e_t,e,e_d,s_t,s,s_d
167,2823,-1,167,2823,-1.98275
168,2822,-1,168,2822,-1.98205
169,2821,-1,169,2821,-1.98135
170,2820,-1,170,2820,-1.98065
171,2819,-1,171,2819,-1.97995
172,2818,-1,172,2818,-1.97925
173,2817,-1,173,2817,-1.97855
174,2816,-1,174,2816,-1.97785
175,2815,-1,175,2815,-1.97715
176,2814,-1,176,2814,-1.97645
177,2813,-1,177,2813,-1.97575
178,2812,-1,178,2812,-1.97505
179,2811,-1,179,2811,-1.97435
180,2810,-1,180,2810,-1.97365
181,2809,-1,181,2809,-1.97295
182,2808,-1,182,2808,-1.97225
183,2807,-1,183,2807,-1.97155
184,2806,-1,184,2806,-1.97085
185,2805,-1,185,2805,-1.97015
186,2804,-1,186,2804,-1.96945
187,2803,-1,187,2803,-1.96875
188,2802,-1,188,2802,-1.96805
189,2801,-1,189,2801,-1.96735
190,2800,-1,190,2800,-1.96665
191,2799,-1,191,2799,-1.96595
192,2798,-1,192,2798,-1.96525
193,2797,-1,193,2797,-1.96455
194,2796,-1,194,2796,-1.96385
195,2795,-1,195,2795,-1.96315
196,2794,-1,196,2794,-1.96245
197,2793,-1,197,2793,-1.96175
198,2792,-1,198,2792,-1.96105
199,2791,-1,199,2791,-1.96035
200,2790,-1,200,2790,-1.95965
201,2789,-1,201,2789,-1.95895
202,2788,-1,202,2788,-1.95825
203,2787,-1,203,2787,-1.95755
204,2786,-1,204,2786,-1.95685
205,2785,-1,205,2785,-1.95615
206,2784,-1,206,2784,-1.95545
207,2783,-1,207,2783,-1.95475
208,2782,-1,208,2782,-1.95405
209,2781,-1,209,2781,-1.95335
210,2780,-1,210,2780,-1.95265
211,2779,-1,211,2779,-1.95195
212,2778,-1,212,2778,-1.95125
213,2777,-1,213,2777,-1.95055
214,2776,-1,214,2776,-1.94985
215,2775,-1,215,2775,-1.94915
216,2774,-1,216,2774,-1.94845
217,2773,-1,217,2773,-1.94775
218,2772,-1,218,2772,-1.94705
219,2771,-1,219,2771,-1.94635
220,2770,-1,220,2770,-1.94565
